systemstop,objectid,street,routesstpg,public_nam,point_x,point_y
1746,2984,PRATT,155,Pratt & Sheridan,-87.66118942,42.00562643
12069,2985,LUNT,96,Lunt & Ridge,-87.68166487,42.00888762
2196,2986,KING DRIVE,3,King Drive & 29th Street,-87.61764714,41.84186739
7246,2987,SOUTH CHICAGO,30,South Chicago & 87th Street/Yates,-87.56612085,41.73735266
7808,2988,36TH STREET,35,36th Street & Kedzie Terminal,-87.70501149,41.82843607
1586,2989,MICHIGAN,"1,3,4,J14,26,28",Michigan & Harrison,-87.62437372,41.8745596
9561,2990,AUSTIN,91,Austin & Montrose,-87.77709,41.960426
9541,2991,NAGLE,86,Nagle & Avondale/Somerset,-87.78777026,41.98444085
10907,2992,74TH STREET,75,74th Street & Damen Terminal,-87.67375364,41.75952377
17408,2993,STATE,29,State & 45th Street,-87.62629628,41.81282912
7286,2994,AVENUE O,30,Avenue O & 114th Street,-87.54022545,41.6883473
5817,2995,HALSTED,8,Halsted & 30th Street,-87.646347,41.8399
14027,2996,BRAINARD,30,Brainard & Brandon,-87.54591268,41.64837633
11677,2997,LEHIGH,85A,Lehigh & Devon,-87.76591662,41.99741073
4389,2998,ARCHER,"62,62H",Archer & Austin,-87.77222225,41.79409776
15555,2999,PULASKI,53,Pulaski & 15th Street,-87.72509292,41.86048759
10610,3000,GARFIELD,55,Garfield & Oakley,-87.681122,41.793906
6964,3001,CERMAK,"21,322",Cermak & Home,-87.798156,41.850558
941,3003,NORTH AVENUE,72,North Ave & Paulina,-87.67009398,41.91068367
12081,3004,TOUHY,96,Touhy & Albany,-87.70663944,42.01196206
11769,3005,HARLEM,90,Harlem & Agatite,-87.80737215,41.96137137
9612,3006,AUSTIN,91,Austin Blue Line Station,-87.77436591,41.87110193
11154,3007,KIMBALL,82,Kimball & Bloomingdale,-87.711862,41.913417
5592,3008,IRVING PARK,80,Irving Park & Cumberland Terminal,-87.8375348,41.95222299
8864,3009,DAMEN,50,Damen & Fulton,-87.676849,41.886851
9797,3010,MILWAUKEE,"85,85A",Milwaukee & Foster,-87.76700708,41.97461387
9901,3011,NORTHWEST HWY,68,Northwest Hwy & Neva,-87.8047,41.9958
3686,3012,HALSTED,8A,Halsted & 84th Street,-87.64387169,41.74159366
4442,3013,ARCHER,62,Archer & Arch,-87.659452,41.84082019
4493,3014,ARCHER,62,Archer & Brighton,-87.69252569,41.82138706
10041,3015,KEDZIE,52A,Kedzie & 98th Street,-87.70173711,41.71539975
17655,3016,BELMONT,77,Belmont & Octavia,-87.80893759,41.9378972
17659,3017,115TH STREET,115,115th Street & Ashland,-87.66117078,41.68476068
5364,3018,BROADWAY,36,Broadway & Aldine,-87.64454,41.9423
17604,3082,LAWRENCE,81,Lawrence & Damen,-87.67946362,41.96884119
17606,3083,LAWRENCE,81,Lawrence & Wolcott,-87.67595811,41.9687203
17607,3084,WESTERN,49,Western & Sunnyside,-87.68886244,41.96295285
17608,3085,WESTERN,49,Western & Grace,-87.68847992,41.95015128
17609,3086,MONTROSE,78,Montrose & Western,-87.68831156,41.96126049
17610,3087,MONTROSE,78,Montrose & Damen,-87.67923725,41.96153408
17613,3088,DAMEN,48,Damen & 66th Street,-87.67382692,41.7737045
15428,3089,60TH STREET,2,60th Street & Kimbark,-87.59405738,41.78610827
2264,3090,95TH STREET,3,95th Street & King Drive,-87.61366877,41.72179669
2103,3091,CHICAGO STATE UNIVERSITY,"3,4",Chicago State University,-87.608898,41.721068
14263,3092,RIDGE,"201,206",Ridge & Lee,-87.68732277,42.03593967
14267,3093,RIDGE,"201,206",Ridge & Crain,-87.68808936,42.03948112
17150,3094,RIDGE,"201,206",Ridge & Austin,-87.68516234,42.02544678
7248,3095,SOUTH CHICAGO,30,South Chicago & 89th Street,-87.560399,41.73324129
2597,3096,COTTAGE GROVE,"4,N5,95",Cottage Grove & Lyon,-87.604637,41.724293
5544,3097,MILWAUKEE,56,Milwaukee & Wabansia,-87.68082869,41.9126159
8846,3098,DAMEN,50,Damen & Churchill,-87.677626,41.914796
9224,3099,BELMONT,77,Belmont & Cumberland Terminal,-87.83553814,41.93726672
5133,3100,WALLACE,44,Wallace & 28th Street,-87.64164192,41.8436248
15030,3101,ARCHER,62,Archer & Pope John Paul II/43rd St,-87.70260693,41.8151983
8792,3102,DAMEN,"48,94",Damen & 73rd Street,-87.673509,41.761239
1843,3103,CLARK,"22,36,73",Clark & Wisconsin,-87.6351637,41.91671284
12248,3104,AVENUE C,100,Avenue C & 108th Street,-87.52704667,41.69913844
12878,3105,PULASKI,53A,Pulaski & 94th Street,-87.72145519,41.72233949
8190,3106,WESTERN,49,Western & Belle Plaine,-87.68865362,41.95595329
5214,3107,JEFFERY,"N5,15",Jeffery & 72nd Street,-87.57641527,41.76424541
2263,3108,KING DRIVE,3,King Drive & 94th Street,-87.61422905,41.72349998
9448,3109,BUFFALO,87,Buffalo & 88th Street,-87.544468,41.735802
9815,3110,HIGGINS,88,Higgins & Newland,-87.79988358,41.97964429
12358,3111,VINCENNES,112,Vincennes & Ashland,-87.66171705,41.69455623
9598,3112,AUSTIN,91,Austin & Superior,-87.77517517,41.89371476
7055,3113,S. SHORE DRIVE,"6,26",S. Shore Drive & 74th Street,-87.55880171,41.76215515
10364,3114,CICERO,54B,Cicero & State Road,-87.74187045,41.75895214
845,3115,NEVA,72,Neva & North Ave,-87.80401,41.909026
14357,3116,DODGE,"93,206",Dodge & Warren,-87.69948434,42.02752259
4505,3117,ARCHER,62,Archer & Hamlin,-87.71846418,41.80547469
1384,3118,LINCOLN,11,Lincoln & Byron,-87.67767765,41.95247149
15735,3119,HARLEM,"90,307,318",Harlem & Oak,-87.80525962,41.8923683
4499,3120,ARCHER,62,Archer & Spaulding,-87.70624384,41.8129937
10361,3121,CICERO,54B,Cicero & Marquette Rd,-87.74223121,41.77132172
9876,3122,HIGGINS,88,Higgins & Marmora,-87.77593672,41.97245671
9915,3123,WASHINGTON,68,Washington & Summit,-87.82679661,42.00772952
3588,3124,NILES CENTER,97,Niles Center & Greenleaf,-87.74966425,42.03722549
5150,3125,HALSTED,"8,44",Halsted & 42nd Street,-87.6458555,41.81758292
2931,3126,VINCENNES,111,Vincennes & Edmaire,-87.66662467,41.68678778
2550,3127,COTTAGE GROVE,4,Cottage Grove & 48th Street,-87.606595,41.807852
14998,3128,MCCORMICK,"82,96",McCormick & Pratt,-87.7117262,42.00470469
7946,3129,BELMONT,77,Belmont & Spaulding,-87.70995738,41.93939573
961,3130,NORTH AVENUE,72,North Ave & Drake,-87.71471161,41.9101141
7529,3131,MICHIGAN,"34,103,106,119",Michigan & 96th Street,-87.62063922,41.72005384
7577,3132,ELLIS,34,Ellis & 132nd Place,-87.5968717,41.65503346
1499,3133,LINCOLN,11,Lincoln & Sacramento,-87.704385,41.988701
12085,3134,KEDZIE,11,6933 N Kedzie,-87.70927488,42.00737135
7538,3135,MICHIGAN,"34,119",Michigan & 105th Street,-87.62072359,41.70360933
7549,3136,MICHIGAN,"34,119",Michigan & Kensington,-87.62077605,41.68402454
7295,3137,AVENUE O,30,Avenue O & Veteran's Drive (12400 S),-87.53909481,41.66789337
10204,3138,CICERO,54,Cicero & Byron,-87.74737751,41.95164172
8226,3139,WESTERN,49,Western & Huron,-87.68688161,41.89380051
11714,3140,RIDGELAND,86,Ridgeland & Division,-87.78487009,41.9019343
